unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
854,2014.833,2015,Y,15-49,PMA,MW,0.0422,0,0.0422,,0.5774,N,,N,,N,,None,None,N,,N,,,,,,,,,Sahel
854,2014.833,2015,Y,15-49,PMA,MW,0.1602,0.0032,0.1634,,0.395,N,,N,,N,,None,None,N,,N,,,,,,,,,Sud-Ouest
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.2561,0,0.2561,,0.2736,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Boucle de Mouhoun
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.0827,0,0.0827,,0.2543,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Cascades
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.342,0.024,0.366,,0.1994,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Centre (including Ouagadougou)
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.109,0.021,0.13,,0.4215,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Centre-Est
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.2111,0,0.2111,,0.2317,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Centre-Nord
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.1703,0.0139,0.1842,,0.3113,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Centre-Ouest
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0,0,0,,0,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Centre-Sud
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.1573,0,0.1573,,0.3594,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Est
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.2982,0.0127,0.3109,,0.4102,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Hauts Bassins
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.1669,0,0.1669,,0.4477,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Nord
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0,0,0,,0,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Plateau Central
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0,0,0,,0,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Sahel
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.2168,0.0062,0.223,,0.3297,N,,N,,N,,None,None,N,,N,,,,,,,5764,Y_1639,Sud-Ouest
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.2028,0.0078,0.2106,,0.2426,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Boucle de Mouhoun
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.254,0.0146,0.2686,,0.1523,N,,N,,N,,None,None,N,,N,,,,,,,6107,Y_1717,Cascades
